"";"media_grupo_par";"media_grupo_impar";"diferenca_medias";"p_valor";"uf";"significativo"
"Norte";5,82394210889042;5,67276294666746;0,151179162222961;0,0454297991355747;"Norte";1
"Nordeste";7,27893574908648;7,12243559179915;0,156500157287325;0,00102389394802404;"Nordeste";1
"Sudeste";2,68402097699484;2,63504006569779;0,0489809112970527;0,0238847472063529;"Sudeste";1
"Sul";2,23345586187691;2,22000190766883;0,013453954208086;0,580842345221757;"Sul";0
"Centro-Oeste";3,71510364635365;3,64093586037049;0,0741677859831569;0,214712907172036;"Centro-Oeste";0
