"";"media_grupo_par";"media_grupo_impar";"diferenca_medias";"p_valor";"uf";"significativo"
"Norte";76,310105004773;76,3518600325506;-0,0417550277776257;0,837880125059288;"Norte";0
"Nordeste";77,0282182271965;77,8924751014386;-0,864256874242074;7,06564513802375e-14;"Nordeste";1
"Sudeste";81,3498979334388;81,8547509616333;-0,504853028194461;1,10495919225992e-10;"Sudeste";1
"Sul";77,4118597164963;78,308706431384;-0,896846714887687;2,20393057324527e-13;"Sul";1
"Centro-Oeste";76,78913596785;77,8709319611206;-1,08179599327067;4,99273575153645e-07;"Centro-Oeste";1
