"";"media_grupo_par";"media_grupo_impar";"diferenca_medias";"p_valor";"uf";"significativo"
"Norte";9,37337796549245;9,32550148803772;0,0478764774547287;0,497860870096363;"Norte";0
"Nordeste";10,6307798612617;10,42659033523;0,204189526031669;1,25519779011624e-06;"Nordeste";1
"Sudeste";5,07263655765127;5,01240815440908;0,060228403242184;0,0389968805971671;"Sudeste";1
"Sul";6,31939535300978;6,3902696478265;-0,0708742948167265;0,0587903933669922;"Sul";0
"Centro-Oeste";6,1233531694696;5,91841264204546;0,204940527424144;0,000781844885175708;"Centro-Oeste";1
