"";"media_grupo_par";"media_grupo_impar";"diferenca_medias";"p_valor";"uf";"significativo"
"Norte";2,54866103522646;2,59837668612067;-0,0497156508942105;0,224362522701263;"Norte";0
"Nordeste";3,39890797745502;3,41489742963196;-0,0159894521769384;0,555557950322518;"Nordeste";0
"Sudeste";0,693302186076022;0,696509620979752;-0,00320743490372966;0,796857618714272;"Sudeste";0
"Sul";0,351767291647977;0,381019096056041;-0,0292518044080636;0,000368471212048438;"Sul";1
"Centro-Oeste";1,01536869340233;1,10138494318182;-0,0860162497794894;0,00352114414205864;"Centro-Oeste";1
