"";"media_grupo_par";"media_grupo_impar";"diferenca_medias";"p_valor";"uf";"significativo"
"Norte";88,0779609992811;88,0761218258416;0,00183917343947826;0,983804022309359;"Norte";0
"Nordeste";85,9703121612833;86,1585122351381;-0,18820007385473;0,000600581738034196;"Nordeste";1
"Sudeste";94,2340612562727;94,2910822246112;-0,0570209683384633;0,0897382598891487;"Sudeste";0
"Sul";93,3288373553422;93,2287112561174;0,100126099224795;0,0125793845755828;"Sul";1
"Centro-Oeste";92,8612781371281;92,9802024147727;-0,118924277644666;0,098712603020172;"Centro-Oeste";0
