"";"media_grupo_par";"media_grupo_impar";"diferenca_medias";"p_valor";"uf";"significativo"
"Norte";13,2584344742943;13,0542897000698;0,204144774224536;0,212732987024779;"Norte";0
"Nordeste";12,7512693522599;12,256000804802;0,495268547457892;1,03502622511034e-07;"Nordeste";1
"Sudeste";6,7780889469942;6,44244008284841;0,33564886414579;6,77155534956516e-13;"Sudeste";1
"Sul";8,37810470435421;8,1890525497059;0,189052154648314;0,0105484069258124;"Sul";1
"Centro-Oeste";9,91990622906899;9,60910234419668;0,310803884872305;0,0334229798861298;"Centro-Oeste";1
