"";"media_grupo_par";"media_grupo_impar";"diferenca_medias";"p_valor";"uf";"significativo"
"Norte";81,4015782219159;81,9417206730483;-0,540142451132411;6,58196067900986e-05;"Norte";1
"Nordeste";77,1935006851401;77,8962481298193;-0,702747444679233;1,07336755497525e-17;"Nordeste";1
"Sudeste";86,7749087326882;87,0451634979096;-0,270254765221424;1,08074127968858e-06;"Sudeste";1
"Sul";82,5100724032303;83,0857401755055;-0,575667772275239;6,91122531567581e-13;"Sul";1
"Centro-Oeste";86,7073551448551;87,1976282257201;-0,490273080864952;5,65981167981286e-05;"Centro-Oeste";1
