"";"media_grupo_par";"media_grupo_impar";"diferenca_medias";"p_valor";"uf";"significativo"
"Norte";12,7744796691937;12,3855163802842;0,388963288909457;0,000195091177038046;"Norte";1
"Nordeste";15,5275635657734;14,9813162783815;0,546247287391912;7,5664581146064e-19;"Nordeste";1
"Sudeste";10,541070290317;10,3197964363926;0,221273853924378;1,96571305352156e-06;"Sudeste";1
"Sul";15,2564717348928;14,6942579168256;0,562213818067148;1,53022983120527e-14;"Sul";1
"Centro-Oeste";9,57754120879121;9,16143591390941;0,416105294881797;1,42611966050283e-05;"Centro-Oeste";1
